officeName,addressLine1,addressLine2,city,state,zipCode,Cancer Type
CBCI-Colorado Blood Cancer Institute (CBCI),1721 E 19th Avenue,"Suites 200, 300, 434, 510",Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 08
CBCI-Presbyterian - St. Lukes,1719 E. 19th Avenue,,Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 08
CBCI-Presbyterian - St. Lukes - CAR-T,1719 E. 19th Avenue,"BMT Unit, 3rd Floor",Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 08
CBCI-Presbyterian - St. Lukes - Infusion Center,1721 E. 19th Avenue,Suite 110,Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 08
TriStar BMT-TriStar BMT,2410 Patterson Street,Suite 500,Nashville,TN,37203,Acute Lymphoblastic Leukemia,ALL 08
TriStar BMT-TriStar CMC Cell Processing Lab,2300 Patterson Street,3rd Floor,Nashville,TN,37203,Acute Lymphoblastic Leukemia,ALL 08
TTI-Adult Blood Cancer and Stem Cell Transplant Clinic,4450 Medical Drive,First Floor,San Antonio,TX,78229,Acute Lymphoblastic Leukemia,ALL 08
TTI-Methodist Healthcare System of San Antonio,7700 Floyd Curl Drive,,San Antonio,TX,78229,Acute Lymphoblastic Leukemia,ALL 08
CBCI-Colorado Blood Cancer Institute (CBCI),1721 E 19th Avenue,"Suites 200, 300, 434, 510",Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 07
CBCI-Presbyterian - St. Lukes,1719 E. 19th Avenue,,Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 07
CBCI-Presbyterian - St. Lukes - CAR-T,1719 E. 19th Avenue,"BMT Unit, 3rd Floor",Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 07
CBCI-Presbyterian - St. Lukes - Infusion Center,1721 E. 19th Avenue,Suite 110,Denver,CO,80218,Acute Lymphoblastic Leukemia,ALL 07
